patient,channel,category
rbd19,F4-C4,EEG
rbd19,C4-P4,EEG
rbd19,P4-O2,EEG
rbd19,FP1-F3,EEG
rbd19,F3-C3,EEG
rbd19,C3-P3,EEG
rbd19,P3-O1,EEG
rbd19,C4-A1,EEG
rbd19,EMG1-EMG2,EMG
rbd19,ECG1-ECG2,ECG
rbd19,DX1-DX2,OTHER
rbd19,SX1-SX2,OTHER
rbd19,F8-T4,EEG
rbd19,F7-T3,EEG
rbd19,SAO2,OXYGEN
rbd19,HR,UNKNOWN
rbd19,PLETH,OXYGEN
rbd19,STAT,UNKNOWN
rbd2,ROC-LOC,EOG
rbd2,FP2-F4,EEG
rbd2,F4-C4,EEG
rbd2,C4-P4,EEG
rbd2,P4-O2,EEG
rbd2,FP1-F3,EEG
rbd2,F3-C3,EEG
rbd2,C3-P3,EEG
rbd2,P3-O1,EEG
rbd2,C4-A1,EEG
rbd2,EMG1-EMG2,EMG
rbd2,ECG1-ECG2,ECG
rbd2,DX1-DX2,OTHER
rbd2,SX1-SX2,OTHER
rbd2,F8-T4,EEG
rbd2,F7-T3,EEG
rbd2,SAO2,OXYGEN
rbd2,HR,UNKNOWN
rbd2,PLETH,OXYGEN
rbd2,STAT,UNKNOWN
rbd20,ROC-LOC,EOG
rbd20,FP2-F4,EEG
rbd20,F4-C4,EEG
rbd20,C4-P4,EEG
rbd20,P4-O2,EEG
rbd20,C4-A1,EEG
rbd20,EMG1-EMG2,EMG
rbd20,ECG1-ECG2,ECG
rbd20,DX1-DX2,OTHER
rbd20,SX1-SX2,OTHER
rbd20,F8-T4,EEG
rbd20,F7-T3,EEG
rbd20,SAO2,OXYGEN
rbd20,HR,UNKNOWN
rbd20,PLETH,OXYGEN
rbd20,STAT,UNKNOWN
rbd21,ROC-LOC,EOG
rbd21,FP2-F4,EEG
rbd21,F4-C4,EEG
rbd21,C4-P4,EEG
rbd21,P4-O2,EEG
rbd21,FP1-F3,EEG
rbd21,F3-C3,EEG
rbd21,C3-P3,EEG
rbd21,P3-O1,EEG
rbd21,C4-A1,EEG
rbd21,EMG1-EMG2,EMG
rbd21,ECG1-ECG2,ECG
rbd21,DX1-DX2,OTHER
rbd21,SX1-SX2,OTHER
rbd21,F8-T4,EEG
rbd21,F7-T3,EEG
rbd21,SAO2,OXYGEN
rbd21,HR,UNKNOWN
rbd21,PLETH,OXYGEN
rbd21,STAT,UNKNOWN
rbd22,ROC-LOC,EOG
rbd22,FP2-F4,EEG
rbd22,F4-C4,EEG
rbd22,C4-P4,EEG
rbd22,P4-O2,EEG
rbd22,FP1-F3,EEG
rbd22,F3-C3,EEG
rbd22,C3-P3,EEG
rbd22,P3-O1,EEG
rbd22,C4-A1,EEG
rbd22,EMG1-EMG2,EMG
rbd22,ECG1-ECG2,ECG
rbd22,DX1-DX2,OTHER
rbd22,SX1-SX2,OTHER
rbd22,F8-T4,EEG
rbd22,F7-T3,EEG
rbd22,SAO2,OXYGEN
rbd22,HR,UNKNOWN
rbd22,PLETH,OXYGEN
rbd22,STAT,UNKNOWN
rbd3,ROC-LOC,EOG
rbd3,FP2-F4,EEG
rbd3,F4-C4,EEG
rbd3,C4-P4,EEG
rbd3,P4-O2,EEG
rbd3,FP1-F3,EEG
rbd3,F3-C3,EEG
rbd3,C3-P3,EEG
rbd3,P3-O1,EEG
rbd3,C4-A1,EEG
rbd3,EMG1-EMG2,EMG
rbd3,ECG1-ECG2,ECG
rbd3,DX1-DX2,OTHER
rbd3,SX1-SX2,OTHER
rbd3,F8-T4,EEG
rbd3,F7-T3,EEG
rbd3,TORACE,THORAX
rbd3,ADDOME,ABDOMEN
rbd3,POSITION,OTHER
rbd3,SAO2,OXYGEN
rbd3,MIC,OTHER
rbd3,HR,UNKNOWN
rbd3,PLETH,OXYGEN
rbd3,STAT,UNKNOWN
rbd4,ROC-LOC,EOG
rbd4,FP2-F4,EEG
rbd4,F4-C4,EEG
rbd4,C4-P4,EEG
rbd4,P4-O2,EEG
rbd4,C4-A1,EEG
rbd4,EMG1-EMG2,EMG
rbd4,ECG1-ECG2,ECG
rbd4,DX1-DX2,OTHER
rbd4,SX1-SX2,OTHER
rbd4,F8-T4,EEG
rbd4,F7-T3,EEG
rbd4,TORACE,THORAX
rbd4,SAO2,OXYGEN
rbd4,MIC,OTHER
rbd4,HR,UNKNOWN
rbd4,PLETH,OXYGEN
rbd4,STAT,UNKNOWN
rbd5,ROC-LOC,EOG
rbd5,FP2-F4,EEG
rbd5,F4-C4,EEG
rbd5,C4-P4,EEG
rbd5,P4-O2,EEG
rbd5,FP1-F3,EEG
rbd5,F3-C3,EEG
rbd5,C3-P3,EEG
rbd5,P3-O1,EEG
rbd5,C4-A1,EEG
rbd5,EMG1-EMG2,EMG
rbd5,ECG1-ECG2,ECG
rbd5,DX1-DX2,OTHER
rbd5,SX1-SX2,OTHER
rbd5,F8-T4,EEG
rbd5,F7-T3,EEG
rbd5,TORACE,THORAX
rbd5,ADDOME,ABDOMEN
rbd5,SAO2,OXYGEN
rbd5,HR,UNKNOWN
rbd5,PLETH,OXYGEN
rbd5,STAT,UNKNOWN
rbd6,ROC-LOC,EOG
rbd6,LOC-ROC,UNKNOWN
rbd6,F2-F4,UNKNOWN
rbd6,F4-C4,EEG
rbd6,C4-P4,EEG
rbd6,P4-O2,EEG
rbd6,C4-A1,EEG
rbd6,EMG1-EMG2,EMG
rbd6,ECG1-ECG2,ECG
rbd6,TERMISTORE,UNKNOWN
rbd6,TORACE,THORAX
rbd6,ADDOME,ABDOMEN
rbd6,DX1-DX2,OTHER
rbd6,SX1-SX2,OTHER
rbd6,HR,UNKNOWN
rbd6,SPO2,OXYGEN
rbd7,ROC-LOC,EOG
rbd7,FP2-F4,EEG
rbd7,F4-C4,EEG
rbd7,C4-P4,EEG
rbd7,P4-O2,EEG
rbd7,FP1-F3,EEG
rbd7,F3-C3,EEG
rbd7,C3-P3,EEG
rbd7,P3-O1,EEG
rbd7,C4-A1,EEG
rbd7,EMG1-EMG2,EMG
rbd7,ECG1-ECG2,ECG
rbd7,DX1-DX2,OTHER
rbd7,SX1-SX2,OTHER
rbd7,F8-T4,EEG
rbd7,F7-T3,EEG
rbd7,TORACE,THORAX
rbd7,ADDOME,ABDOMEN
rbd7,POSITION,OTHER
rbd7,SAO2,OXYGEN
rbd7,HR,UNKNOWN
rbd7,PLETH,OXYGEN
rbd7,STAT,UNKNOWN
rbd8,ROC-LOC,EOG
rbd8,FP2-F4,EEG
rbd8,F4-C4,EEG
rbd8,C4-P4,EEG
rbd8,P4-O2,EEG
rbd8,FP1-F3,EEG
rbd8,F3-C3,EEG
rbd8,C3-P3,EEG
rbd8,P3-O1,EEG
rbd8,C4-A1,EEG
rbd8,EMG1-EMG2,EMG
rbd8,ECG1-ECG2,ECG
rbd8,DX1-DX2,OTHER
rbd8,SX1-SX2,OTHER
rbd8,F8-T4,EEG
rbd8,F7-T3,EEG
rbd8,TORACE,THORAX
rbd8,ADDOME,ABDOMEN
rbd8,SAO2,OXYGEN
rbd8,HR,UNKNOWN
rbd8,PLETH,OXYGEN
rbd8,STAT,UNKNOWN
rbd9,ROC-LOC,EOG
rbd9,FP2-F4,EEG
rbd9,F4-C4,EEG
rbd9,C4-P4,EEG
rbd9,P4-O2,EEG
rbd9,FP1-F3,EEG
rbd9,F3-C3,EEG
rbd9,C3-P3,EEG
rbd9,P3-O1,EEG
rbd9,C4-A1,EEG
rbd9,EMG1-EMG2,EMG
rbd9,ECG1-ECG2,ECG
rbd9,DX1-DX2,OTHER
rbd9,SX1-SX2,OTHER
rbd9,F8-T4,EEG
rbd9,F7-T3,EEG
rbd9,SAO2,OXYGEN
rbd9,HR,UNKNOWN
rbd9,PLETH,OXYGEN
rbd9,STAT,UNKNOWN
sdb1,FP2-F4,EEG
sdb1,F4-C4,EEG
sdb1,C4-P4,EEG
sdb1,P4-O2,EEG
sdb1,C4-A1,EEG
sdb1,ROC-LOC,EOG
sdb1,EMG1-EMG2,EMG
sdb1,ECG1-ECG2,ECG
sdb1,TIB SX,UNKNOWN
sdb1,TIB DX,UNKNOWN
sdb1,SAO2,OXYGEN
sdb1,HR,UNKNOWN
sdb1,PLETH,OXYGEN
sdb1,MIC,OTHER
sdb1,FLUSSO,FLOW
sdb1,TORACE,THORAX
sdb1,ADDDOME,ABDOMEN
sdb2,FP2-F4,EEG
sdb2,F4-C4,EEG
sdb2,C4-P4,EEG
sdb2,P4-O2,EEG
sdb2,C4-A1,EEG
sdb2,ROC-LOC,EOG
sdb2,EMG1-EMG2,EMG
sdb2,ECG1-ECG2,ECG
sdb2,FLUSSO,FLOW
sdb2,TORACE,THORAX
sdb2,ADDDOME,ABDOMEN
sdb2,SAO2,OXYGEN
sdb2,SX1-SX2,OTHER
sdb2,DX1-DX2,OTHER
sdb2,HR,UNKNOWN
sdb2,PLETH,OXYGEN
sdb3,ROC-LOC,EOG
sdb3,LOC-ROC,UNKNOWN
sdb3,F2-F4,UNKNOWN
sdb3,F4-C4,EEG
sdb3,C4-P4,EEG
sdb3,P4-O2,EEG
sdb3,C4-A1,EEG
sdb3,EMG1-EMG2,EMG
sdb3,ECG1-ECG2,ECG
sdb3,TERMISTORE,UNKNOWN
sdb3,TORACE,THORAX
sdb3,ADDOME,ABDOMEN
sdb3,DX1-DX2,OTHER
sdb3,SX1-SX2,OTHER
sdb3,POSIZIONE,UNKNOWN
sdb3,HR,UNKNOWN
sdb3,SPO2,OXYGEN
sdb3,SOUND,UNKNOWN
sdb4,ROC-LOC,EOG
sdb4,FP2-F4,EEG
sdb4,F4-C4,EEG
sdb4,C4-P4,EEG
sdb4,P4-O2,EEG
sdb4,C4-A1,EEG
sdb4,EMG1-EMG2,EMG
sdb4,ECG1-ECG2,ECG
sdb4,MIC,OTHER
sdb4,FLUSSO,FLOW
sdb4,TORACE,THORAX
sdb4,ADDDOME,ABDOMEN
sdb4,SAO2,OXYGEN
sdb4,SX1-SX2,OTHER
sdb4,DX1-DX2,OTHER
sdb4,POSITION,OTHER
sdb4,HR,UNKNOWN
sdb4,PLETH,OXYGEN
